"variable_nombre","descripcion","funcion"
"d_joven1","Hogar con al menos una persona de 15 a 24 años","procesar_vars_hogar"
"d_joven2","Hogar con al menos una persona de 15 a 29 años","procesar_vars_hogar"
"dep","Número de integrantes dependientes: menores de 15 y personas de 65 años o más","procesar_vars_hogar"
"destino_primero","Pendiente de documentar","sinco2019_to_sinco2011"
"duracion_anios","Antiguedad en el trabajo expresada en anos","procesar_libro1"
"duracion_max_meses","Limite superior de antiguedad compatible con la fecha","procesar_libro1"
"duracion_meses","Antiguedad exacta en meses cuando se conoce el mes inicial","procesar_libro1"
"duracion_min_meses","Limite inferior de antiguedad compatible con la fecha","procesar_libro1"
"duracion_precision","Precision de la antiguedad en el trabajo","procesar_libro1"
"edad","Edad en años","procesar_vars_sociodemo"
"edad5","Edad en grupos quinquenales","procesar_vars_sociodemo"
"educacion_universitaria","Educacion profesional, maestria o doctorado","procesar_libro1"
"egp3_damian","Esquema EGP agrupado en tres clases","procesar_clases_damian"
"elegible_carrera","Nivel educativo elegible para registrar carrera","armonizar_carreras_enoe"
"estado_ingreso_cuidado","Estado de observación o imputación del ingreso en el cuidado de mercado","procesar_cuidado_remunerado"
"extr","Persona nacida en el extranjero","procesar_libro1"
"extr_especificado","Persona extranjera con region de origen identificada","procesar_libro1"
"fac_hog","Factor de expansion del hogar","procesar_cuidado_extra"
"family","Tipología detallada del hogar","procesar_vars_hogar"
"familyt","Tipología resumida del hogar","procesar_vars_hogar"
"familyt_lab","Tipología resumida del hogar","procesar_vars_hogar"
"folio","Identificador de vivienda","crear_folios"
"folio2","Identificador de hogar","crear_folios"
"folio3","Identificador de individuo","crear_folios"
"fuente_sinco_damian","Variable ocupacional usada por el módulo de clases de Damián","procesar_clases_damian"
"grupo_2005","Grupo del Catálogo de Carreras 2005","armonizar_carreras_enoe"
"grupo_ocu9_damian","Gran grupo ocupacional SINCO en nueve categorias","procesar_clases_damian"
"h_00_05","Número de integrantes de 0 a 5 años en el hogar","procesar_vars_hogar"
"h_06_12","Número de integrantes de 6 a 12 años en el hogar","procesar_vars_hogar"
"h_13_17","Número de integrantes de 13 a 17 años en el hogar","procesar_vars_hogar"
"h_18m","Número de integrantes de 18 años o más","procesar_vars_hogar"
"h_adm","Número de integrantes de 65 años o más","procesar_vars_hogar"
"h_escolar","Número de integrantes de 6 a 17 años en el hogar","procesar_cuidado_extra"
"h_joven1","Número de integrantes de 15 a 24 años","procesar_vars_hogar"
"h_joven2","Número de integrantes de 15 a 29 años","procesar_vars_hogar"
"hay_adolescente_cuidado_amplio","Hogar con al menos una persona adolescente que realiza cuidado amplio sin pago","procesar_cuidado_extra"
"hay_adolescente_cuidado_directo","Hogar con al menos una persona adolescente que realiza cuidado directo sin pago desde 2013","procesar_cuidado_extra"
"hogar_un_adulto","Hogar integrado por una sola persona adulta","procesar_cuidado_extra"
"hogar_un_adulto_ocupado","Hogar con una sola persona adulta y esta se encuentra ocupada","procesar_cuidado_extra"
"horas_cuidado_amplio_adolescentes","Horas de cuidado amplio sin pago realizadas por adolescentes","procesar_cuidado_extra"
"horas_cuidado_directo_adolescentes","Horas de cuidado directo sin pago realizadas por adolescentes desde 2013","procesar_cuidado_extra"
"horas_hombres_adultos","Horas semanales de trabajo remunerado de hombres adultos ocupados","procesar_cuidado_extra"
"horas_laborales_hogar","Horas semanales de trabajo remunerado de adultos del hogar","procesar_cuidado_extra"
"horas_mujeres_adultas","Horas semanales de trabajo remunerado de mujeres adultas ocupadas","procesar_cuidado_extra"
"i_00_05","Persona de 0 a 5 años","procesar_vars_sociodemo"
"i_06_12","Persona de 6 a 12 años","procesar_vars_sociodemo"
"i_13_17","Persona de 13 a 17 años","procesar_vars_sociodemo"
"i_18m","Persona de 18 años o más","procesar_vars_sociodemo"
"i_joven1","Persona de 15 a 24 años","procesar_vars_sociodemo"
"i_joven2","Persona de 15 a 29 años","procesar_vars_sociodemo"
"imp_ingocup","Indicador de imputación de ingreso (1 = imputado)","imputa_ingocup"
"ing_hog","Ingreso total del hogar deflactado","procesar_contribucion_hogar"
"ing_hog_pc","Ingreso per cápita del hogar deflactado","procesar_contribucion_hogar"
"ing_hog_pc_sego","Ingreso per cápita del hogar sin la persona ego","procesar_contribucion_hogar"
"ing_ipc","Ingreso ocupacional por hora a precios constantes","procesar_contribucion_hogar"
"ing_mensual_ipc","Ingreso ocupacional mensual imputado a precios constantes (IPC base 100)","procesar_contribucion_hogar"
"ingocup_imp","Ingreso mensual imputado","imputa_ingocup"
"isco_care","Gran grupo ISCO de la ocupacion de cuidado","class_cuidado_rem"
"isco88_damian","Codigo ISCO-88 derivado de SINCO 2011 (correspondencia de Gerardo Damián Hernández)","procesar_clases_damian"
"jefa_mujer","Hogar con jefatura femenina","procesar_vars_hogar"
"jefatura","Sexo de la jefatura del hogar","procesar_cuidado_extra"
"jefe_hombre","Hogar con jefatura masculina","procesar_vars_hogar"
"log_ingocup_imp","Logaritmo del ingreso mensual imputado","imputa_ingocup"
"macro_egp4_damian","Macroclases EGP en cuatro categorias","procesar_clases_damian"
"macro_solis4_damian","Macroclases de Solis en cuatro categorias","procesar_clases_damian"
"manual_damian","Indicador de trabajo manual","procesar_clases_damian"
"may","Número de integrantes de 65 años o más","procesar_vars_hogar"
"men","Número de integrantes menores de 15 años","procesar_vars_hogar"
"mes_entrevista","Mes del resultado definitivo de la entrevista","procesar_libro1"
"mes_inici","Mes de inicio en el trabajo actual","procesar_libro1"
"metodo_clase_damian","Metodo de asignacion de la clase ocupacional","procesar_clases_damian"
"mismatch","Desajuste educativo","procesar_vars_laborales"
"miss_income4","Ingreso no declarado identificado mediante P6B1","imputa_ingocup"
"miss_to_impute","Ingreso laboral faltante seleccionado para imputación","imputa_ingocup"
"mujer_universitaria","Mujer con educacion profesional, maestria o doctorado","procesar_libro1"
"muy_baja_capacidad_absorcion","Hogar con población de 6 a 17 años, todas las personas adultas ocupadas y al menos una con jornada mayor de 48 horas semanales (Escoto, 2026)","procesar_cuidado_extra"
"n_adolescentes","Número de adolescentes de 13 a 17 años en el hogar","procesar_cuidado_extra"
"n_adolescentes_cuidado_amplio","Número de adolescentes de 13 a 17 años que realizan cuidado amplio sin pago","procesar_cuidado_extra"
"n_adolescentes_cuidado_directo","Número de adolescentes de 13 a 17 años que realizan cuidado directo sin pago desde 2013","procesar_cuidado_extra"
"n_adultos","Numero de personas adultas en el hogar","procesar_cuidado_extra"
"n_adultos_no_ocupados","Numero de personas adultas no ocupadas","procesar_cuidado_extra"
"n_adultos_ocupados","Numero de personas adultas ocupadas","procesar_cuidado_extra"
"n_destinos","Pendiente de documentar","sinco2019_to_sinco2011"
"n_destinos_sinco","Número de destinos posibles en el puente hacia SINCO 2011","armonizar_sinco"
"n_hombres_adultos","Número de hombres adultos en el hogar","procesar_cuidado_extra"
"n_hombres_adultos_ocupados","Número de hombres adultos ocupados en el hogar","procesar_cuidado_extra"
"n_mujeres_adultas","Número de mujeres adultas en el hogar","procesar_cuidado_extra"
"n_mujeres_adultas_ocupadas","Número de mujeres adultas ocupadas en el hogar","procesar_cuidado_extra"
"n_personas","Numero de personas registradas en el hogar","procesar_cuidado_extra"
"n_prestaciones_ampliado","Numero de prestaciones recibidas de P3M1 a P3M7","procesar_libro1"
"neet_buscador","Persona que no estudia ni trabaja y busca trabajo","procesar_estudio_trabajo"
"neet_quehaceres","Persona que no estudia ni trabaja y se dedica a los quehaceres del hogar","procesar_estudio_trabajo"
"neet_disponible","Persona que no estudia ni trabaja y está disponible para trabajar","procesar_estudio_trabajo"
"nivel_carrera","Nivel educativo asociado a la carrera","armonizar_carreras_enoe"
"nivel_educativo_codigo","Nivel educativo de CS_P13_1 normalizado como entero","procesar_libro1"
"no_estudia_no_trabaja","Persona que no estudia ni trabaja","procesar_estudio_trabajo"
"no_ocupacion_cuidados","No ocupacion por razones de cuidado","procesar_libro1"
"nondep","Número de integrantes de 15 a 64 años","procesar_vars_hogar"
"norem_hog_armonizado","Horas armonizadas de trabajo no remunerado del hogar; ruptura de medición en 2013","procesar_contribucion_hogar"
"norem_hog_instrumento","Horas captadas de trabajo no remunerado del hogar","procesar_contribucion_hogar"
"norem_pc_armonizado","Horas armonizadas no remuneradas per cápita del hogar; ruptura de medición en 2013","procesar_contribucion_hogar"
"nunca_trabajo","Indicador de nunca haber trabajado antes","procesar_vars_laborales"
"origen_nivel_detalle","Nivel de detalle del lugar de nacimiento disponible","procesar_libro1"
"p_lab","Personas ocupadas en el hogar (clase2 == 1)","procesar_vars_hogar"
"p_lab_ratio","Proporción de personas ocupadas respecto al tamaño del hogar","procesar_vars_hogar"
"par_dic","Indicador de jefatura del hogar","procesar_vars_sociodemo"
"parentesco","Parentesco resumido con la jefatura","procesar_vars_sociodemo"
"periodo","Pendiente de documentar","imputa_ingocup"
"periodo_referencia_mismatch2","Periodo usado para la referencia estadística de escolaridad","calcular_desajuste_estadistico"
"ponderador_mismatch2","Ponderador usado para la referencia estadística de escolaridad","calcular_desajuste_estadistico"
"posocup_damian","Posicion ocupacional armonizada para reproducir el modulo de Damian","procesar_clases_damian"
"presion_alta_un_adulto","Presion de cuidado en hogar con un solo adulto ocupado","procesar_cuidado_extra"
"prestaciones_medibles","Prestaciones del cuestionario ampliado medibles","procesar_libro1"
"prestaciones_ninguna","No recibe ninguna prestacion de la bateria P3M","procesar_libro1"
"prestaciones_no_sabe","No sabe que prestaciones recibe","procesar_libro1"
"quintil_ing_hog_pc","Quintil ponderado de ingreso per cápita del hogar","procesar_contribucion_hogar"
"quintil_ing_hog_pc_sego","Quintil ponderado de ingreso per cápita del hogar sin ego","procesar_contribucion_hogar"
"quintil_ing_ind","Quintil ponderado de ingreso ocupacional individual deflactado","procesar_contribucion_hogar"
"quintil_norem_pc_armonizado","Quintil ponderado de trabajo no remunerado armonizado per cápita","procesar_contribucion_hogar"
"region_origen_long","Region de nacimiento armonizada longitudinalmente","procesar_libro1"
"rela1","Número de jefas o jefes en el hogar","procesar_vars_hogar"
"rela2","Número de cónyuges o parejas en el hogar","procesar_vars_hogar"
"rela3","Número de hijas o hijos en el hogar","procesar_vars_hogar"
"rela4","Número de madres o padres de la jefatura en el hogar","procesar_vars_hogar"
"rela5","Número de otros parientes en el hogar","procesar_vars_hogar"
"rela6","Número de personas no parientes u otras en el hogar","procesar_vars_hogar"
"relative","Clasificación del parentesco respecto a la jefatura del hogar","procesar_vars_hogar"
"rural","Indicador dicotómico de ruralidad","procesar_vars_sociodemo"
"scian_catalogo_alerta","Catalogo P4A empaquetado inconsistente con el periodo documentado","class_cuidado_rem"
"scian_version_cuidado","Versión SCIAN-Hogares documentada","class_cuidado_rem"
"sexo","Sexo","procesar_vars_sociodemo"
"sin_pago","Persona ocupada sin ingreso laboral","imputa_ingocup"
"sinco_version_cuidado","Version ocupacional usada para clasificar cuidados","class_cuidado_rem"
"sinco1d","Código ocupacional SINCO 2011 a un dígito derivado con la máxima información sustentada","armonizar_sinco"
"sinco2011_apto_1d","Indicador de código armonizado disponible al menos a un dígito","armonizar_sinco"
"sinco2011_apto_3d","Indicador de código armonizado disponible al menos a tres dígitos","armonizar_sinco"
"sinco2011_apto_4d","Indicador de código armonizado disponible a cuatro dígitos","armonizar_sinco"
"sinco2011_granularidad","Máximo número de dígitos sustentados por la armonización a SINCO 2011","armonizar_sinco"
"sinco2011","Código equivalente en SINCO 2011","sinco2019_to_sinco2011"
"sinco2019","Código original del catálogo SINCO 2019","sinco2019_to_sinco2011"
"sinco4d","Código ocupacional operativo a cuatro dígitos cuando la equivalencia exacta está sustentada","armonizar_sinco"
"sinco4d_base2011","Código ocupacional canónico SINCO 2011 a cuatro dígitos","armonizar_sinco"
"sindicato","Afiliacion sindical de personas asalariadas","procesar_libro1"
"sindicato_medible","Afiliacion sindical medible en el trimestre","procesar_libro1"
"situacion_estudio_trabajo","Situación combinada de asistencia escolar y ocupación","procesar_estudio_trabajo"
"skill_actual","Proxy de competencia basado en escolaridad","procesar_vars_laborales"
"skill_level","Nivel agregado de competencia requerido por la ocupación","procesar_vars_laborales"
"status_seq","Condición laboral y experiencia previa","procesar_vars_laborales"
"supervisa_damian","Indicador de ocupacion de supervision","procesar_clases_damian"
"t_compras","Tiempo dedicado a compras, trámites y seguridad del hogar, en horas","procesar_tiempo"
"t_compras_estado","Estado de medición del tiempo dedicado a compras","procesar_tiempo"
"t_comun","Tiempo dedicado a servicios gratuitos a la comunidad, en horas","procesar_tiempo"
"t_comun_estado","Estado de medición del tiempo dedicado a servicios comunitarios","procesar_tiempo"
"t_construir","Tiempo dedicado a construir o ampliar la vivienda, en horas","procesar_tiempo"
"t_construir_estado","Estado de medición del tiempo dedicado a construir","procesar_tiempo"
"t_cuidado","Tiempo del reactivo de cuidado; incluye traslados hasta 2012, en horas","procesar_tiempo"
"t_cuidado_amplio","Cuidado sin pago y traslados de integrantes del hogar, en horas","procesar_tiempo"
"t_cuidado_amplio_incompleto","Cuidado amplio afectado por duración o realización desconocida","procesar_tiempo"
"t_cuidado_definicion","Contenido del reactivo fuente de cuidado","procesar_tiempo"
"t_cuidado_directo","Cuidado directo sin pago identificable desde 2013, en horas","procesar_tiempo"
"t_cuidado_directo_estado","Estado de medición del cuidado directo","procesar_tiempo"
"t_cuidado_estado","Estado de medición del reactivo fuente de cuidado","procesar_tiempo"
"t_dep1","Tasa de dependencia juvenil","procesar_vars_hogar"
"t_dep2","Tasa de dependencia senil","procesar_vars_hogar"
"t_dep3","Tasa de dependencia total","procesar_vars_hogar"
"t_estudiar","Tiempo dedicado a estudiar o tomar cursos, en horas","procesar_tiempo"
"t_estudiar_estado","Estado de medición del tiempo dedicado a estudiar","procesar_tiempo"
"t_loc","Tamaño de localidad","procesar_vars_sociodemo"
"t_quehacer","Tiempo dedicado a quehaceres del hogar, en horas","procesar_tiempo"
"t_quehacer_estado","Estado de medición del tiempo dedicado a quehaceres","procesar_tiempo"
"t_reparar","Tiempo dedicado a reparar bienes del hogar, en horas","procesar_tiempo"
"t_reparar_estado","Estado de medición del tiempo dedicado a reparar","procesar_tiempo"
"t_trabajo_hogar_indirecto_armonizado","Construcción, reparación y quehaceres para el propio hogar con contenido armonizado, en horas","procesar_tiempo"
"t_trabajo_hogar_indirecto_armonizado_incompleto","Trabajo indirecto del propio hogar afectado por duración o realización desconocida","procesar_tiempo"
"t_trabajo_hogar_armonizado","Cuidado amplio y trabajo indirecto para el propio hogar con contenido armonizado, en horas","procesar_tiempo"
"t_trabajo_hogar_armonizado_incompleto","Trabajo para el propio hogar afectado por duración o realización desconocida","procesar_tiempo"
"t_total_instrumento","Todos los reactivos no educativos captados, incluidos servicios comunitarios, en horas","procesar_tiempo"
"t_total_instrumento_incompleto","Total del instrumento afectado por duración o realización desconocida","procesar_tiempo"
"t_traslado","Tiempo dedicado a traslados de integrantes del hogar, en horas","procesar_tiempo"
"t_traslado_estado","Estado de medición del tiempo dedicado a traslados","procesar_tiempo"
"tam_est_damian","Tamano del establecimiento derivado de emple7c","procesar_clases_damian"
"tam_hog","Tamaño del hogar (sin servicio doméstico)","procesar_vars_hogar"
"temporal","Clasificación de temporalidad laboral","procesar_vars_laborales"
"temporal_seq","Secuencia de temporalidad laboral","procesar_vars_laborales"
"tiempo_medible","Batería de uso del tiempo con alguna respuesta observada","procesar_tiempo"
"tiempo_version_instrumento","Versión sustantiva de la batería de uso del tiempo","procesar_tiempo"
"tiene_codigo_carrera","Cuenta con código de carrera","armonizar_carreras_enoe"
"tipo_hog","Tipología sintética del hogar","procesar_vars_hogar"
"tipo_hog_lab","Tipología sintética del hogar","procesar_vars_hogar"
"tipo_hog2","Tipología agregada del hogar","procesar_vars_hogar"
"tipo_hog2_lab","Tipología agregada del hogar","procesar_vars_hogar"
"tipo_neet","Tipo principal de situación entre quienes no estudian ni trabajan","procesar_estudio_trabajo"
"tipo_presencia_menores","Combinación de grupos de edad de 0 a 17 años presentes en el hogar","procesar_cuidado_extra"
"todos_adultos_ocupados","Todas las personas adultas del hogar están ocupadas","procesar_cuidado_extra"
"trabajo_cuidado_mercado","Indicador principal de inserción ocupacional en el cuidado de mercado","procesar_cuidado_remunerado"
"trim","Número de trimestre (t1-t4)","procesar_vars_sociodemo"
"trimestres_referencia_mismatch2","Número de trimestres acumulados en la referencia estadística","calcular_desajuste_estadistico"
"unidad_referencia_mismatch2","Unidad analítica de la referencia estadística","calcular_desajuste_estadistico"
"unido","Estado conyugal: vive en unión","procesar_vars_sociodemo"
"urb_rur","Área urbana o rural","procesar_vars_sociodemo"
"version_sinco_origen","Catálogo ocupacional observado antes de armonizar a SINCO 2011","armonizar_sinco"
"version_sinco_destino","Catálogo ocupacional canónico de destino; por defecto SINCO 2011","armonizar_sinco"
"zona_econ","Región socioeconómica analítica de ocho zonas","procesar_vars_sociodemo"
